arecod,stos,stoe,wh_id,locsts,velzon,wrkzon,aisle_id,bastrv,trvord
CQ,AI14001,AI14052,SGDC,E,B,HWZ,,3500000,asc
CQ,AI15001,AI15052,SGDC,E,B,HWZ,,3500000,asc
CQ,AI16001,AI16052,SGDC,E,B,HWZ,,3500000,asc
CQ,AI17001,AI17052,SGDC,E,B,HWZ,,3500000,asc
CQ,AI18001,AI18052,SGDC,E,B,HWZ,,3500000,asc
CQ,AI19001,AI19052,SGDC,E,B,HWZ,,3500000,asc
GNRC,AI01053,AI01065,SGDC,E,B,LWZ,,3500000,asc
GNRC,AI02053,AI02065,SGDC,E,B,LWZ,,3500000,asc
GNRC,AI03053,AI03065,SGDC,E,B,LWZ,,3500000,asc
GNRC,AI04053,AI04065,SGDC,E,B,LWZ,,3500000,asc
GNRC,AI05053,AI05065,SGDC,E,B,LWZ,,3500000,asc
GNRC,AI06053,AI06065,SGDC,E,B,HWZ,,3500000,asc
GNRC,AI07053,AI07065,SGDC,E,B,HWZ,,3500000,asc
GNRC,AI08053,AI08065,SGDC,E,B,HWZ,,3500000,asc
GNRC,AI09053,AI09065,SGDC,E,B,HWZ,,3500000,asc
GNRC,AI10053,AI10065,SGDC,E,B,HWZ,,3500000,asc
GNRC,AI11053,AI11065,SGDC,E,B,HWZ,,3500000,asc
GNRC,AI12053,AI12065,SGDC,E,B,HWZ,,3500000,asc
GNRC,AI13053,AI13065,SGDC,E,B,HWZ,,3500000,asc
GNRC,AI14053,AI14065,SGDC,E,B,HWZ,,3500000,asc
GNRC,AI15053,AI15065,SGDC,E,B,HWZ,,3500000,asc
GNRC,AI16053,AI16065,SGDC,E,B,HWZ,,3500000,asc
GNRC,AI17053,AI17065,SGDC,E,B,HWZ,,3500000,asc
GNRC,AI18053,AI18065,SGDC,E,B,HWZ,,3500000,asc
GNRC,AI19053,AI19065,SGDC,E,B,HWZ,,3500000,asc
LN,AI01066,AI01091,SGDC,E,B,LWZ,,3500000,asc
LN,AI02066,AI02091,SGDC,E,B,LWZ,,3500000,asc
LN,AI03066,AI03091,SGDC,E,B,LWZ,,3500000,asc
LN,AI04066,AI04091,SGDC,E,B,LWZ,,3500000,asc
LN,AI05066,AI05091,SGDC,E,B,LWZ,,3500000,asc
LN,AI06066,AI06091,SGDC,E,B,HWZ,,3500000,asc
LN,AI07066,AI07091,SGDC,E,B,HWZ,,3500000,asc
LN,AI08066,AI08091,SGDC,E,B,HWZ,,3500000,asc
LN,AI09066,AI09091,SGDC,E,B,HWZ,,3500000,asc
LN,AI10066,AI10091,SGDC,E,B,HWZ,,3500000,asc
LN,AI11066,AI11091,SGDC,E,B,HWZ,,3500000,asc
LN,AI12066,AI12091,SGDC,E,B,HWZ,,3500000,asc
LN,AI13066,AI13091,SGDC,E,B,HWZ,,3500000,asc
LN,AI14066,AI14091,SGDC,E,B,HWZ,,3500000,asc
LN,AI15066,AI15091,SGDC,E,B,HWZ,,3500000,asc
LN,AI16066,AI16091,SGDC,E,B,HWZ,,3500000,asc
LN,AI17066,AI17091,SGDC,E,B,HWZ,,3500000,asc
LN,AI18066,AI18091,SGDC,E,B,HWZ,,3500000,asc
LN,AI19066,AI19091,SGDC,E,B,HWZ,,3500000,asc
CKB,AJ01001,AJ01030,SGDC,E,B,LWZ,,3500000,asc
CKB,AJ02001,AJ02030,SGDC,E,B,LWZ,,3500000,asc
CKB,AJ03001,AJ03030,SGDC,E,B,LWZ,,3500000,asc
LN,AJ01031,AJ01042,SGDC,E,B,LWZ,,3500000,asc
LN,AJ02031,AJ02042,SGDC,E,B,LWZ,,3500000,asc
LN,AJ03031,AJ03042,SGDC,E,B,LWZ,,3500000,asc
CKB,AJ04001,AJ04065,SGDC,E,B,HWZ,,3500000,asc
CKB,AJ05001,AJ05065,SGDC,E,B,HWZ,,3500000,asc
CKB,AJ06001,AJ06065,SGDC,E,B,HWZ,,3500000,asc
CKB,AJ07001,AJ07065,SGDC,E,B,HWZ,,3500000,asc
CKB,AJ08001,AJ08065,SGDC,E,B,HWZ,,3500000,asc
CKB,AJ09001,AJ09065,SGDC,E,B,HWZ,,3500000,asc
CKB,AJ10001,AJ10065,SGDC,E,B,HWZ,,3500000,asc
CKB,AJ11001,AJ11065,SGDC,E,B,HWZ,,3500000,asc
CKB,AJ12001,AJ12065,SGDC,E,B,HWZ,,3500000,asc
CKB,AJ13001,AJ13065,SGDC,E,B,HWZ,,3500000,asc
CKB,AJ14001,AJ14065,SGDC,E,B,HWZ,,3500000,asc
CKB,AJ15001,AJ15065,SGDC,E,B,HWZ,,3500000,asc
CKB,AJ16001,AJ16065,SGDC,E,B,HWZ,,3500000,asc
LN,AJ04066,AJ04091,SGDC,E,B,HWZ,,3500000,asc
LN,AJ05066,AJ05091,SGDC,E,B,HWZ,,3500000,asc
LN,AJ06066,AJ06091,SGDC,E,B,HWZ,,3500000,asc
LN,AJ07066,AJ07091,SGDC,E,B,HWZ,,3500000,asc
LN,AJ08066,AJ08091,SGDC,E,B,HWZ,,3500000,asc
LN,AJ09066,AJ09091,SGDC,E,B,HWZ,,3500000,asc
LN,AJ10066,AJ10091,SGDC,E,B,HWZ,,3500000,asc
LN,AJ11066,AJ11091,SGDC,E,B,HWZ,,3500000,asc
LN,AJ12066,AJ12091,SGDC,E,B,HWZ,,3500000,asc
LN,AJ13066,AJ13091,SGDC,E,B,HWZ,,3500000,asc
LN,AJ14066,AJ14091,SGDC,E,B,HWZ,,3500000,asc
LN,AJ15066,AJ15091,SGDC,E,B,HWZ,,3500000,asc
LN,AJ16066,AJ16091,SGDC,E,B,HWZ,,3500000,asc
EL,AK01001,AK01024,SGDC,E,B,LWZ,,3700000,asc
EL,AK02001,AK02024,SGDC,E,B,LWZ,,3700000,asc
EL,AK03001,AK03024,SGDC,E,B,LWZ,,3700000,asc
CMD,AK01025,AK01042,SGDC,E,B,LWZ,,3700000,asc
CMD,AK02025,AK02042,SGDC,E,B,LWZ,,3700000,asc
