prtnum,stoloc,ship_to_loc,minunt,maxunt
33726563,O02091,,12,60
33773094,N01049,1396,12,36
33783911,M02009,1396,12,36
34000182,M01063,,12,60
34000729,M01085,,12,60
34001057,N03102,,12,60
34024729,M01047,1396,12,54
34024737,N01042,1396,24,72
34024745,N01060,1396,24,72
34029116,N01032,1396,12,36
34042317,O01034,1396,12,36
34042416,M02050,1396,6,18
34054528,N01025,1396,12,36
34089367,O02072,,24,120
34092809,O01023,1396,12,36
34092809,P01053,1506,12,54
34092817,O01025,1396,24,72
34092817,P02053,1506,24,72
34092825,N02039,1396,12,36
34092825,P01056,1506,12,54
34116061,N02062,,24,120
34203042,M01094,,24,120
34209510,M02044,1396,12,36
34270520,O01024,1396,12,36
34316786,M01019,1396,6,27
34316786,O02107,1506,6,18
34320960,M01099,,24,120
34321026,M01072,,24,120
34392597,O03105,1506,24,72
34392779,O01114,1506,24,108
34462911,M01060,,24,240
34497594,N01095,,24,120
34595934,O01035,1396,12,36
34613638,M02088,,24,120
34613885,M01081,,24,120
34804443,O01100,,24,120
34929455,O02106,1506,24,72
34932871,N01085,,24,120
35033430,N03068,,12,60
35091008,N02014,1396,24,72
35094028,N03071,,6,30
35105428,M02063,,24,120
35105428,M03086,,12,60
35119999,N02080,,12,60
35263938,M02048,1396,24,72
35263938,P01068,1506,24,108
35274315,N02046,1396,12,36
35353150,O01004,1396,30,90
35631332,O01011,1396,12,36
35631332,O01113,1506,12,54
35646199,M01050,1396,12,54
35646199,P01073,1506,12,54
35667625,M01025,1396,12,54
35667625,O01118,1506,12,54
35718436,O01010,1396,8,24
35778984,M01068,,12,60
35792571,O01098,,12,60
35792597,O03067,,12,60
35841626,M01075,,12,60
35901289,N02024,1396,24,72
35915859,M01017,1396,48,216
35919497,N03079,,12,60
35925262,M01026,1396,48,216
35972397,N02021,1396,24,72
36140911,O01017,1396,24,72
36168987,N02011,1396,6,18
36168987,P02059,1506,6,18
36243921,M02094,,12,60
36244051,O01073,,12,60
36254753,O03104,1506,8,24
36389492,M01043,1396,12,54
36424257,O01104,1506,24,108
36446771,N01012,1396,24,72
36466126,N02120,,24,120
36484806,M02036,1396,12,36
36608222,N02045,1396,12,36
36608230,N01036,1396,12,36
36632438,N01010,1396,24,72
36663649,O02113,1506,12,36
36744696,O02012,1396,24,72
36744696,P01058,1506,24,108
36778702,M01090,,12,60
36779064,N01087,,24,120
36800563,O01062,,12,60
36894608,N01067,,12,60
36895761,M03078,,12,60
36909356,M02061,,12,60
36909745,N01069,,12,60
36909877,N01068,,12,60
36910578,N01101,,24,120
36910578,P02096,1506,24,144
36911543,M03076,,12,60
36912046,M03075,,12,60
36923522,N01070,,12,60
36924090,N02084,,24,120
36924140,M03079,,12,60
36946531,N03083,,12,60
36947786,N03084,,12,60
36947943,N03085,,12,60
36948370,N03106,,12,60
36954055,N03108,,12,60
36954667,N02095,,12,60
36955516,N03107,,12,60
37008588,N01113,,12,60
37009073,N01098,,12,60
37009271,N03105,,12,60
37013828,N01108,,8,40
37060548,M01079,,12,60
37091667,N02026,1396,24,72
37165974,P01063,1506,24,108
37166824,O02116,1506,12,36
37174901,M01082,,12,60
37176989,M01070,,12,60
37189164,N02091,,24,120
37189198,M03090,,24,120
37189339,N03074,,24,120
37189362,N03075,,24,120
37190196,M01058,,12,60
37233897,O03075,,24,120
37233897,P01099,1506,24,144
37234846,M02086,,12,60
37250180,O02040,1396,12,36
37251345,O03109,1506,24,72
37260809,O03108,1506,24,72
37261609,O03112,1506,24,72
37261658,O03113,1506,12,36
37270196,M02005,1396,8,24
37272796,M02032,1396,6,18
37272796,O02104,1506,6,18
37283751,M01012,1396,24,108
37294428,P01077,1506,12,54
37294774,N02074,,12,60
37301702,M01057,,12,60
37304813,O01117,1506,48,216
37312402,N03115,,24,120
37354735,M01061,,12,60
37375466,O01018,1396,24,72
37399359,O01084,,12,60
37408846,O03063,,24,120
37416690,O03064,,24,120
37416963,O03065,,24,120
37417003,O02080,,24,120
37425964,N02090,,12,60
37426103,N02100,,12,60
37443751,M01005,1396,24,108
37443751,P01065,1506,24,108
37460326,M01048,1396,12,54
37496742,M01083,,12,60
37502580,M02008,1396,12,36
37502606,N01027,1396,24,72
37504552,N01061,,24,120
37528114,N02112,,24,120
37532363,O02011,1396,12,36
37532702,O02010,1396,12,36
37532942,N02048,1396,8,24
37566783,M03062,,12,60
37566783,P02089,1506,12,72
37567393,N02079,,12,60
37567773,O01090,,12,60
37574308,N01096,,12,60
37589702,N01019,1396,24,72
37589702,P02078,1506,24,72
37589736,O01022,1396,12,36
37589751,O01053,1396,12,36
37597259,N02027,1396,8,24
37695095,N01014,1396,12,36
37695095,P01061,1506,12,54
37695632,N01118,,12,60
37695665,N01094,,12,60
37695707,M02054,,12,60
37756558,N03093,,24,120
37769676,M03085,,12,60
37771870,N03095,,24,120
37772555,N03094,,24,120
37782257,N03103,,12,60
37786472,P02095,1506,24,144
37787298,P02071,1506,12,36
37793452,M02072,,12,60
37796208,M01044,1396,12,54
37796240,N01045,1396,12,36
37796323,M02041,1396,12,36
37796398,N01059,1396,12,36
37796406,O01001,1396,12,36
37818069,M01001,1396,12,54
37829322,N02066,,12,60
37858065,N03082,,24,120
37881299,M02085,,12,60
37881869,M03057,,24,120
37891553,N03067,,12,60
37904067,O02110,1506,48,144
37938735,N03110,,8,40
37938859,N03111,,8,40
37946977,N01056,1396,24,72
37946977,P02065,1506,24,72
38007530,N03080,,12,60
38019352,O02013,1396,12,36
38050555,P01098,1506,12,72
38051850,N01099,,12,60
38095220,N01043,1396,12,36
38095220,P02072,1506,12,36
38136966,M02069,,12,60
38138681,M01074,,12,60
38150819,P01060,1506,12,54
38152393,N01063,,24,120
38238119,N01092,,12,60
38238119,P02087,1506,12,72
38238465,O01069,,12,60
38239125,M02080,,12,60
38246484,M02074,,12,60
38248415,O01016,1396,24,72
38248647,M01036,1396,12,54
38251658,N01017,1396,12,36
38262408,N03063,,12,60
38353140,O02008,1396,12,36
38353579,O02034,1396,12,36
38353611,O02009,1396,12,36
38354098,O02035,1396,12,36
38409082,O01007,1396,12,36
38409082,O03103,1506,12,36
38409546,M01007,1396,12,54
38427605,O02069,,24,120
38436010,N02085,,24,120
38436085,N01054,1396,8,24
38508271,O01120,1506,12,54
38508297,M02037,1396,12,36
38508321,M01008,1396,12,54
38602389,O01068,,6,30
38605481,O01052,1396,24,72
38631941,N03064,,24,120
38631966,N03117,,24,120
38639654,N03062,,24,120
38663696,M03092,,24,120
38663696,P02098,1506,24,144
38663712,N01077,,12,60
38663712,N03070,,24,120
38663720,M01062,,12,60
38666996,O02095,,24,120
38690442,N02069,,12,60
38690459,M03077,,12,60
38695656,M02039,1396,48,144
38713038,O01013,1396,24,72
38713087,M02026,1396,24,72
38713087,O01108,1506,24,108
38719670,N02009,1396,12,36
38735197,O01112,1506,12,54
38735320,M02024,1396,12,36
38735320,O02105,1506,12,36
38754073,N01100,,24,120
38754198,N02093,,12,60
38776514,O02024,1396,12,36
38792156,O01044,1396,48,144
38793899,N02117,,12,60
38850228,N01001,1396,12,36
38853586,N02114,,12,60
38854063,M01022,1396,12,54
38854188,O01046,1396,12,36
38856399,M02007,1396,12,36
38858411,N01016,1396,12,36
38858494,N02002,1396,12,36
38858577,N01047,1396,24,72
38899514,N02104,,24,120
38910683,M03066,,12,60
38940565,O01045,1396,24,72
38940565,O02111,1506,24,72
38945382,N03120,,12,60
38977302,N03078,,24,120
38977765,M01024,1396,24,108
38977906,O01005,1396,12,36
39058094,O01055,1396,12,36
39114046,M02015,1396,12,36
39114103,N02034,1396,12,36
39114111,N01031,1396,12,36
39159405,N01022,1396,12,36
39161278,O01048,1396,12,36
39175500,N02103,,24,120
39175500,P03086,1506,24,144
39175534,O02074,,12,60
39175583,M02052,,12,60
39175708,N02113,,12,60
39175740,O02079,,12,60
39189816,O03070,,12,60
39189931,M03091,,24,120
39189964,N03073,,12,60
39190061,N02096,,12,60
39190079,N03065,,24,120
39219647,M01004,1396,12,54
39228150,O03085,,24,120
39229984,P02069,1506,24,72
39233333,M01015,1396,12,108
39233333,P02068,1506,12,36
39233341,N01044,1396,12,36
39233341,O02108,1506,12,36
39233770,N02049,1396,12,36
39233770,O03107,1506,12,36
39233796,O02018,1396,12,36
39233796,P02052,1506,12,36
39241732,M01035,1396,24,108
39275037,M01042,1396,12,54
39281076,O03061,,12,60
39315106,O02017,1396,12,36
39316443,M02006,1396,12,36
39332093,O01020,1396,8,24
39361316,N01050,1396,12,36
39379433,N02019,1396,12,36
39379441,O01008,1396,12,36
39379441,P02057,1506,12,36
39379458,N01026,1396,12,36
39379458,O01103,1506,12,54
39380449,O02083,,12,60
39380456,M03059,,12,60
39380464,N01103,,12,60
39385034,M02082,,12,60
39400361,M03052,,24,120
39401823,M02010,1396,12,36
39401823,P03054,1506,12,36
39421946,N01048,1396,24,72
39421946,P02066,1506,24,72
39470802,M01003,1396,12,54
39490933,P03085,1506,24,144
39491824,O01067,,12,60
39505227,O02065,,12,60
39505243,M03089,,12,60
39518154,O01014,1396,24,72
39523212,M01053,,12,60
39523212,M03088,,24,120
39525654,N02056,1396,24,72
39538152,O01003,1396,12,36
39646690,N02003,1396,6,18
