prtnum,stoloc,ship_to_loc,minunt,maxunt
30898456,N03096,,24,120
30898464,M02079,,24,120
30922827,K01048,,120,336
30922827,P02093,1506,24,144
30927503,N02082,,12,60
31012313,M01040,1396,12,54
31027824,N02098,,24,120
31027832,M01077,,24,120
31027832,P01086,1506,24,144
31027857,O02067,,12,60
31027865,N01024,1396,12,36
31073943,D01057,,500,1000
31112865,J01043,,168,672
31112873,L01045,,120,336
31112899,O01086,,24,120
31112899,P02094,1506,24,144
31112907,M02092,,24,120
31112915,O03074,,24,120
31214778,P03089,1506,12,72
3123383,A01036,1506,192,384
3123383,K01034,1396,24,180
31249766,O01041,1396,12,36
31286255,N02059,1396,24,72
31301013,G01023,1506,108,216
31301013,K01043,,60,108
31358666,O01087,,12,60
31358674,O01091,,24,120
31358690,O02068,,24,120
31410350,G01024,1506,300,600
31410350,J01054,,150,600
31410350,O03086,,24,120
31415227,N02111,,12,60
31415250,N02097,,12,60
31510290,O02094,,24,120
31510308,O01097,,12,60
31545213,M03060,,12,60
31548506,A01021,1506,240,480
31548506,E01005,1396,240,480
31584626,O01026,1396,12,36
31597792,F01077,,100,500
31642820,J01035,1396,24,180
31692155,K01052,,120,336
31720899,D01033,1506,168,336
31720899,M02042,1396,12,36
31721038,L01020,1396,12,90
31751746,O03084,,24,120
31771025,N03086,,24,120
31840564,P02054,1506,6,18
31911662,I01061,,5,50
31911688,E01061,,2,20
3192962,I01014,1396,264,528
3192962,P01067,1506,24,108
31946155,N01007,1396,6,18
31964406,F01030,1506,12,90
31970429,N02083,,24,120
31970437,M01088,,12,60
31987977,G01051,,40,180
31987985,G01079,,40,180
32062507,N03109,,24,120
32147142,L01021,1396,12,90
32178485,N03081,,12,60
32178501,N02077,,24,120
32220352,M03055,,24,120
32220378,K01056,,60,240
32220386,N03119,,24,120
32285959,M03083,,24,120
32306854,O03076,,24,120
32328627,I01027,,108,216
32329161,N01028,1396,12,36
32329195,N02006,1396,12,36
32391716,F01062,,100,500
32391732,H01041,,100,500
32391765,F01059,,100,500
32424343,I01068,,50,250
32437360,M01052,,12,60
32471195,I01051,,100,500
32519357,D01043,,140,280
32521817,F01032,1506,12,90
32521817,M01014,1396,12,54
32557795,O01021,1396,24,72
32557795,P02063,1506,24,72
32564387,D01021,1506,360,720
32564387,J01029,1396,36,270
32707192,C01038,1506,600,1200
32707192,G01006,1396,600,1200
32707267,O01009,1396,48,144
32717357,N01051,1396,12,36
32849747,O01080,,12,60
32849812,H01030,1506,384,768
32849812,I01023,,192,768
32849853,N02115,,24,120
32879231,L01079,,60,120
32881260,J01045,,144,576
32945909,N01064,,24,120
32945909,P01088,1506,24,144
32948341,H01066,,100,600
32948358,F01052,,100,500
