usr_id,oprcod,wh_id
YOGESH,PALRPL,SGDC
YONGMENG,PALRPL,SGDC
ZAKARIABIN,PALRPL,SGDC
ZHANGHE,PALRPL,SGDC
ZHENYINQ,PALRPL,SGDC
ZHIQIANG,PALRPL,SGDC
ZL0132877,PALRPL,SGDC
ZULILLAZI,PALRPL,SGDC
ZULSALLEH,PALRPL,SGDC
ZULYUNOS,PALRPL,SGDC
ZUOZHUANG,PALRPL,SGDC
AJITHA,CTNRPL,SGDC
AKBHUVANESH,CTNRPL,SGDC
AKMAL,CTNRPL,SGDC
ALAW,CTNRPL,SGDC
ALISA,CTNRPL,SGDC
AMIRAB,CTNRPL,SGDC
AMY,CTNRPL,SGDC
ANTHONY,CTNRPL,SGDC
APENLESK,CTNRPL,SGDC
AS0130288,CTNRPL,SGDC
AS0132878,CTNRPL,SGDC
ASHOKKUMAR,CTNRPL,SGDC
AYUB,CTNRPL,SGDC
AZIMAN,CTNRPL,SGDC
B ISMAIL,CTNRPL,SGDC
BENGHUA,CTNRPL,SGDC
BIN KOMARUDIN,CTNRPL,SGDC
BRIDGET,CTNRPL,SGDC
C_CLEONG,CTNRPL,SGDC
CHANFANN,CTNRPL,SGDC
CHINCHEEW,CTNRPL,SGDC
CHINGMEI,CTNRPL,SGDC
CHNGSHUN,CTNRPL,SGDC
CHONG,CTNRPL,SGDC
CHRISNATOAL,CTNRPL,SGDC
CHUNKAI,CTNRPL,SGDC
CRYSTALKHO,CTNRPL,SGDC
CW0145014,CTNRPL,SGDC
DEBBIE,CTNRPL,SGDC
DJAISHREE,CTNRPL,SGDC
DL0138873,CTNRPL,SGDC
DROE,CTNRPL,SGDC
EDMUND,CTNRPL,SGDC
EDMUNDPENG,CTNRPL,SGDC
ELAVARASU,CTNRPL,SGDC
ELROND,CTNRPL,SGDC
FADIR,CTNRPL,SGDC
FARAHKAN,CTNRPL,SGDC
FOOKOCK,CTNRPL,SGDC
GAGANA,CTNRPL,SGDC
GAYATHRIL,CTNRPL,SGDC
GC145048,CTNRPL,SGDC
GEORGE,CTNRPL,SGDC
GHAYATHRI,CTNRPL,SGDC
GOWRI,CTNRPL,SGDC
GPAVITHRA,CTNRPL,SGDC
GUION,CTNRPL,SGDC
HALILB,CTNRPL,SGDC
