prtnum,stoloc,ship_to_loc,maxunt,minunt,invsts,mod_usr_id
29293529,K01032,1396,100,10,AFS,SAMNI
29309887,O01094,,100,10,AFS,SAMNI
29310992,N02086,,100,10,AFS,SAMNI
29351681,L01054,,100,10,AFS,SAMNI
29351681,P01087,1506,100,10,AFS,SAMNI
29362696,I01015,1396,100,10,AFS,SAMNI
2939797,N02020,1396,100,10,AFS,SAMNI
29411899,N02016,1396,100,10,AFS,SAMNI
29432341,O01083,,100,10,AFS,SAMNI
29434131,M02053,,100,10,AFS,SAMNI
29434172,I01004,1396,100,10,AFS,SAMNI
29470309,O02093,,100,10,AFS,SAMNI
29475019,B01037,1506,100,10,AFS,SAMNI
29538428,N03076,,100,10,AFS,SAMNI
29538550,N01088,,100,10,AFS,SAMNI
29594447,J01048,,100,10,AFS,SAMNI
29594447,H01022,1506,100,10,AFS,SAMNI
29608759,H01021,1506,100,10,AFS,SAMNI
29612637,G01053,,100,10,AFS,SAMNI
29613262,O02063,,100,10,AFS,SAMNI
29613296,M02058,,100,10,AFS,SAMNI
29723897,N02005,1396,100,10,AFS,SAMNI
2973189,I01019,1396,100,10,AFS,SAMNI
29761467,H01059,,100,10,AFS,SAMNI
29805967,P01090,1506,100,10,AFS,SAMNI
29805975,O02071,,100,10,AFS,SAMNI
29805991,O01092,,100,10,AFS,SAMNI
29806007,M03082,,100,10,AFS,SAMNI
29811668,N01053,1396,100,10,AFS,SAMNI
29818044,N01015,1396,100,10,AFS,SAMNI
29818044,P02058,1506,100,10,AFS,SAMNI
29893351,O02088,,100,10,AFS,SAMNI
2994275,J01061,,100,10,AFS,SAMNI
29976099,M01006,1396,100,10,AFS,SAMNI
29980158,K01029,1396,100,10,AFS,SAMNI
29980158,P01054,1506,100,10,AFS,SAMNI
29991114,J01067,,100,10,AFS,SAMNI
30057426,O03066,,100,10,AFS,SAMNI
30057509,O02098,,100,10,AFS,SAMNI
30057509,H01033,1506,100,10,AFS,SAMNI
30057533,H01028,1506,100,10,AFS,SAMNI
30057533,M02076,,100,10,AFS,SAMNI
30057566,K01073,,100,10,AFS,SAMNI
30057566,P01085,1506,100,10,AFS,SAMNI
30065296,M01065,,100,10,AFS,SAMNI
30065312,N01111,,100,10,AFS,SAMNI
30070593,A01029,1506,100,10,AFS,SAMNI
30070593,G01017,1396,100,10,AFS,SAMNI
30070593,P03055,1506,100,10,AFS,SAMNI
30070775,N03077,,100,10,AFS,SAMNI
30084271,I01033,,100,10,AFS,SAMNI
30084271,J01058,,100,10,AFS,SAMNI
30121081,G01062,,100,10,AFS,SAMNI
30179915,O02086,,100,10,AFS,SAMNI
30179923,O02081,,100,10,AFS,SAMNI
30440242,N02054,1396,100,10,AFS,SAMNI
30443469,H01001,1396,100,10,AFS,SAMNI
30550453,O02082,,100,10,AFS,SAMNI
30594253,N03089,,100,10,AFS,SAMNI
30637607,P03087,1506,100,10,AFS,SAMNI
30637607,N01109,,100,10,AFS,SAMNI
30637607,N01080,,100,10,AFS,SAMNI
30707582,E01047,1506,100,10,AFS,SAMNI
30707582,M01023,1396,100,10,AFS,SAMNI
30737944,J01070,,100,10,AFS,SAMNI
30737951,H01071,,100,10,AFS,SAMNI
30778252,N01117,,100,10,AFS,SAMNI
30778260,N02071,,100,10,AFS,SAMNI
30781686,I01016,1396,100,10,AFS,SAMNI
30816664,K01058,,100,10,AFS,SAMNI
30826051,M02099,,100,10,AFS,SAMNI
30829097,N02063,,100,10,AFS,SAMNI
30829113,N01081,,100,10,AFS,SAMNI
30829121,N03092,,100,10,AFS,SAMNI
30846240,L01080,,100,10,AFS,SAMNI
30848865,O02114,1506,100,10,AFS,SAMNI
30848865,N01020,1396,100,10,AFS,SAMNI
30852875,N02109,,100,10,AFS,SAMNI
30852883,N01089,,100,10,AFS,SAMNI
30852909,L01065,,100,10,AFS,SAMNI
30852917,N01062,,100,10,AFS,SAMNI
30852917,P01094,1506,100,10,AFS,SAMNI
30852941,P01095,1506,100,10,AFS,SAMNI
30852941,N01102,,100,10,AFS,SAMNI
30852958,I01030,,100,10,AFS,SAMNI
